time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
524288,1,36,14289,,,,,,,,,,,,,
1048576,2,80,13055,0.1319429800787475,-0.08545323461294174,0.2,0.10510039329528809,1.0035147666931152,8,0.0001,-0.009877026596768701,0.008658925,-0.04932272434234619,-8.531045991927385,,
1572864,3,124,12657,0.035024756463826634,-0.08954568207263947,0.2,0.0661768913269043,1.0069423913955688,16,0.0001,-0.005200976447213179,0.006255885,0.385126531124115,-8.54989816620946,,
2097152,4,167,12552,0.010867476335988613,-0.08774799853563309,0.2,0.046053171157836914,1.0110664367675781,24,0.0001,-0.0033526522438478423,0.005177284,0.5801463723182678,-8.572063401341438,,
2621440,5,209,12525,0.006494685601865058,-0.08896041661500931,0.2,0.032242774963378906,1.0161411762237549,32,0.0001,-0.002711042075588921,0.0043282188,0.6051192283630371,-8.599986508488655,,
3145728,6,248,12659,0.003681699232402025,-0.0876726508140564,0.2,0.033864736557006836,1.0214836597442627,40,0.0001,-0.0028601280027942266,0.004520572,0.7129804193973541,-8.630086615681648,-3.1426262521743773,360.0
3670016,7,281,13031,0.0037466512540049735,-0.08854232728481293,0.2,0.0263516902923584,1.0256906747817993,48,0.0001,-0.0020450189520033746,0.0039251344,0.38089263439178467,-8.657583925873041,-3.1426262521743773,360.0
4194304,8,323,12969,0.0010705143308769038,-0.09221391379833221,0.2,0.0659341812133789,1.0266520977020264,56,0.0001,-0.006025609020070988,0.00600902,0.7756734192371368,-8.669488471001387,-3.1426262521743773,360.0
4718592,9,369,12756,0.0027311067542541423,-0.08957122266292572,0.2,0.026564836502075195,1.0299686193466187,64,0.0001,-0.002214282187196659,0.004115112,0.4788702726364136,-8.684049107134342,-3.1426262521743773,360.0
5242880,10,419,12498,0.0015132706671465712,-0.08939935266971588,0.2,0.029574871063232422,1.0367013216018677,72,0.0001,-0.0026218566417810507,0.004051746,0.6512230336666107,-8.715349085628986,-3.1426262521743773,360.0
5767168,11,470,12249,0.002466392083078972,-0.08831474930047989,0.2,0.01999378204345703,1.0422248840332031,80,0.0001,-0.0017915013188485318,0.0036834262,0.557760626077652,-8.749988846480846,-3.1426262521743773,360.0
6291456,12,509,12345,0.0015031966772767191,-0.09110017865896225,0.2,0.021918535232543945,1.0474953651428223,88,0.0001,-0.002031416621775861,0.00358325,0.7563802897930145,-8.780434131622314,-3.120435197353363,360.0
6815744,13,549,12406,0.001961599720743834,-0.09167363494634628,0.2,0.0496060848236084,1.0488463640213013,96,0.0001,-0.003645728087576572,0.0052511827,0.48850494623184204,-8.796060103923082,-3.120435197353363,360.0
7340032,14,603,12153,0.0007786699591179058,-0.09502962976694107,0.2,0.06588578224182129,1.0513399839401245,104,0.0001,-0.005812235317989689,0.0060402257,0.8278675824403763,-8.807485669851303,-3.120435197353363,360.0
7864320,15,655,11989,0.0019618424389591382,-0.0910787358880043,0.2,0.029392719268798828,1.0586276054382324,112,0.0001,-0.0023431589661413454,0.004176487,0.7132039964199066,-8.84061699733138,-3.120435197353363,360.0
8388608,16,705,11885,0.0010781025996493554,-0.09226366877555847,0.2,0.038178443908691406,1.0626397132873535,120,0.0001,-0.003308497716943748,0.004801288,0.8562567830085754,-8.868625190109015,-3.120435197353363,360.0
8912896,17,754,11814,0.0014561955285898875,-0.09294366836547852,0.2,0.03396964073181152,1.0651277303695679,128,0.0001,-0.0030024162824702216,0.004628402,0.854621633887291,-8.88535039126873,-3.026000679731369,360.0
9437184,18,788,11971,0.003662003362478572,-0.08937959372997284,0.2,0.02059197425842285,1.0693814754486084,136,0.0001,-0.0015053952893140377,0.003697593,0.6272766590118408,-8.90489336848259,-3.026000679731369,360.0
9961472,19,830,11990,0.000555331734290121,-0.09672379493713379,0.2,0.07769775390625,1.0654804706573486,144,0.0001,-0.007038472254862427,0.006720883,0.8649707436561584,-8.896189231425524,-3.026000679731369,360.0
10485760,20,878,11940,0.0023091532430044026,-0.09105472266674042,0.2,0.023135662078857422,1.069854974746704,152,0.0001,-0.001979244754920728,0.0037522416,0.6806734204292297,-8.905575349926949,-3.026000679731369,360.0
11010048,21,924,11909,0.0009244689597380784,-0.0921517089009285,0.2,0.03285694122314453,1.073829174041748,160,0.0001,-0.002904880613186833,0.004427759,0.8461967408657074,-8.929454535245895,-3.026000679731369,360.0
11534336,22,968,11904,0.0023858974573158775,-0.0921204462647438,0.2,0.018666744232177734,1.0773710012435913,168,0.0001,-0.001688365189011165,0.0035429383,0.7299341857433319,-8.950505245476961,-3.026000679731369,360.0
12058624,23,1008,11957,0.001015524856711636,-0.09292910248041153,0.2,0.028834104537963867,1.0814288854599,176,0.0001,-0.0029260714377414843,0.0041685365,0.8701689392328262,-8.971123799681664,-2.7579655170440676,360.0
12582912,24,1044,12045,0.003218443521291192,-0.0925668254494667,0.2,0.04018735885620117,1.0834934711456299,184,0.0001,-0.002397449527052231,0.0047462983,0.7279869616031647,-8.98522949591279,-2.7579655170440676,360.0
13107200,25,1088,12039,0.0005423093613217134,-0.0974893569946289,0.2,0.07106685638427734,1.078187108039856,192,0.0001,-0.007010013319359132,0.0066126627,0.9012906104326248,-8.967991851270199,-2.7579655170440676,360.0
13631488,26,1135,11999,0.0027005714146071114,-0.0914265513420105,0.2,0.026657581329345703,1.0828889608383179,200,0.0001,-0.0021622525946440874,0.0040740664,0.7648647874593735,-8.978024423122406,-2.7579655170440676,360.0
14155776,27,1183,11964,0.00072741905228213,-0.09377648681402206,0.2,0.033643245697021484,1.0849136114120483,208,0.0001,-0.0034185871656973177,0.00438327,0.9178898856043816,-8.993949014693499,-2.7579655170440676,360.0
14680064,28,1229,11935,0.0026835574835786247,-0.09280326217412949,0.2,0.025870084762573242,1.088371753692627,216,0.0001,-0.0022903991266503,0.0040385174,0.8235480636358261,-9.009954653680325,-2.7579655170440676,360.0
15204352,29,1265,12014,0.0008139280416799011,-0.09576056897640228,0.2,0.03958272933959961,1.0876349210739136,224,0.0001,-0.0044710102629323956,0.0050325263,0.9350490644574165,-9.012625388801098,-2.472364500761032,360.0
15728640,30,1304,12057,0.002303202322764264,-0.09385932981967926,0.2,0.053185462951660156,1.087383508682251,232,0.0001,-0.0031304323183576344,0.0056514274,0.6951707899570465,-9.009809650480747,-2.472364500761032,360.0
16252928,31,1351,12029,0.0024082765494313207,-0.09116741269826889,0.2,0.0292813777923584,1.091792345046997,240,0.0001,-0.002084513610270733,0.0041792095,0.669233649969101,-9.024936590343714,-2.472364500761032,360.0
16777216,32,1398,11994,0.0008057441800701781,-0.09496623277664185,0.2,0.04667949676513672,1.09371018409729,248,0.0001,-0.004426524536029319,0.005132213,0.901367150247097,-9.040540017187595,-2.472364500761032,360.0
17301504,33,1446,11962,0.002348261860788625,-0.09325767308473587,0.2,0.0348970890045166,1.0965747833251953,256,0.0001,-0.002895724423979118,0.004559562,0.817611426115036,-9.05492788925767,-2.472364500761032,360.0
17825792,34,1491,11953,0.0009347811997031386,-0.09656934440135956,0.2,0.041211843490600586,1.0979514122009277,264,0.0001,-0.004232196172779368,0.004902426,0.9206004068255424,-9.064758006483316,-2.379046791791916,360.0
18350080,35,1524,12034,0.004133580645429902,-0.09265454113483429,0.2,0.034368038177490234,1.1035785675048828,272,0.0001,-0.0018220701379050297,0.0044642175,0.7159013152122498,-9.085344891995192,-2.379046791791916,360.0
18874368,36,1564,12062,0.00046685914264799067,-0.09787984192371368,0.2,0.08079028129577637,1.0971941947937012,280,0.0001,-0.007346073848566448,0.0071859397,0.8985313847661018,-9.069965470582247,-2.379046791791916,360.0
19398656,37,1607,12069,0.002807899620165699,-0.09356026351451874,0.2,0.029884815216064453,1.1001838445663452,288,0.0001,-0.00254496456977904,0.0041849106,0.771585002541542,-9.07205906137824,-2.379046791791916,360.0
19922944,38,1652,12055,0.0008887990520634048,-0.09579431265592575,0.2,0.04500460624694824,1.0995482206344604,296,0.0001,-0.004348885208401043,0.0050729937,0.9160345196723938,-9.074232742190361,-2.379046791791916,360.0
20447232,39,1698,12037,0.0028607045614990056,-0.09399135410785675,0.2,0.02380967140197754,1.1019304990768433,304,0.0001,-0.0022037314192857593,0.003791478,0.8402181416749954,-9.081986770033836,-2.379046791791916,360.0
20971520,40,1737,12068,0.0009044007649663399,-0.09592592716217041,0.2,0.03231000900268555,1.1023834943771362,312,0.0001,-0.0036035271969012683,0.004397908,0.9432400763034821,-9.086026348173618,-2.1068786787986755,360.0
21495808,41,1772,12130,0.002539991020967136,-0.09169717878103256,0.2,0.033173322677612305,1.10349702835083,320,0.0001,-0.001813757602349142,0.0044825976,0.6404000222682953,-9.092522069811821,-2.1068786787986755,360.0
22020096,42,1811,12156,0.00037636608567481744,-0.09578361362218857,0.2,0.044318199157714844,1.099723219871521,328,0.0001,-0.004712304013537505,0.0050458587,0.8877201601862907,-9.078610382974148,-2.1068786787986755,360.0
22544384,43,1856,12142,0.0020824733551307872,-0.09342839568853378,0.2,0.03169083595275879,1.1012157201766968,336,0.0001,-0.002331845653088749,0.0042001572,0.733534038066864,-9.07835964486003,-2.1068786787986755,360.0
23068672,44,1903,12120,0.00038101675738744234,-0.09730541706085205,0.2,0.05369734764099121,1.0998876094818115,344,0.0001,-0.005377768370181002,0.0055539757,0.9099788591265678,-9.073795408010483,-2.1068786787986755,360.0
23592960,45,1952,12086,0.0019730206390704552,-0.09248584508895874,0.2,0.02945876121520996,1.1012651920318604,352,0.0001,-0.00225529911904232,0.0042567784,0.8031463623046875,-9.07767055183649,-1.6958961844444276,360.0
24117248,46,1983,12158,0.0023430938681485713,-0.090189628303051,0.2,0.018221139907836914,1.1070278882980347,360,0.0001,-0.001231360338124432,0.0034102285,0.6237835884094238,-9.100100949406624,-1.6958961844444276,360.0
24641536,47,2018,12205,0.00024106298917558888,-0.09875119477510452,0.2,0.0673990249633789,1.0995750427246094,368,0.0001,-0.007009318957898358,0.0063178055,0.9407291486859322,-9.080930162221193,-1.6958961844444276,360.0
25165824,48,2056,12237,0.0023275773382920306,-0.0934739038348198,0.2,0.024239063262939453,1.1033804416656494,376,0.0001,-0.0016363883780741162,0.0037464795,0.5933414697647095,-9.081906203180552,-1.6958961844444276,360.0
25690112,49,2098,12243,0.0006103412379161455,-0.09775324165821075,0.2,0.06565189361572266,1.1022992134094238,384,0.0001,-0.00632278885859705,0.0061741197,0.9041352495551109,-9.082983553409576,-1.6958961844444276,360.0
26214400,50,2142,12237,0.0021946115484752227,-0.0920160636305809,0.2,0.0276029109954834,1.105971097946167,392,0.0001,-0.002179328441116013,0.0040970854,0.7408302128314972,-9.094904948025942,-1.6958961844444276,360.0
26738688,51,2184,12239,0.0006270868857427558,-0.09352605044841766,0.2,0.03236985206604004,1.1061136722564697,400,0.0001,-0.003052938324344723,0.0045035346,0.9163786023855209,-9.100905366241932,-1.6795335769653321,360.0
27262976,52,2216,12299,0.0020208325399835303,-0.09302947670221329,0.2,0.015508174896240234,1.1111482381820679,408,0.0001,-0.0010776960268685798,0.0030649998,0.6044447422027588,-9.118846978992224,-1.6795335769653321,360.0
27787264,53,2253,12330,0.00024994806307176987,-0.09684545546770096,0.2,0.05048227310180664,1.1079999208450317,416,0.0001,-0.005157624792900606,0.005277618,0.8837430626153946,-9.11631029099226,-1.6795335769653321,360.0
28311552,54,2295,12331,0.001727367519379186,-0.09262663871049881,0.2,0.02086186408996582,1.1107020378112793,424,0.0001,-0.0014566406758831363,0.0035123727,0.7154503762722015,-9.120200607925653,-1.6795335769653321,360.0
28835840,55,2342,12309,0.00024023060620947945,-0.09572458267211914,0.2,0.04774761199951172,1.110060453414917,432,0.0001,-0.004326660344759148,0.0053288424,0.9050444737076759,-9.120662700384855,-1.6795335769653321,360.0
29360128,56,2391,12277,0.001872260073923826,-0.09432488679885864,0.2,0.03178834915161133,1.113218069076538,440,0.0001,-0.0021344608060189785,0.0043319874,0.7438821196556091,-9.131821107119322,-1.6795335769653321,360.0
29884416,57,2429,12300,0.0002594823844219718,-0.09733715653419495,0.2,0.06282877922058105,1.1117068529129028,448,0.0001,-0.005624130738624444,0.006047862,0.9284622222185135,-9.130433313548565,-1.4396114879846573,360.0
30408704,58,2461,12351,0.0015441041900885466,-0.09411194175481796,0.2,0.04054450988769531,1.1128437519073486,456,0.0001,-0.0020600436055246973,0.004908153,0.7191152572631836,-9.131977446377277,-1.4396114879846573,360.0
30932992,59,2498,12378,0.00023142128441122622,-0.09559475630521774,0.2,0.043964385986328125,1.1070785522460938,464,0.0001,-0.004410527859818103,0.004937651,0.8564202338457108,-9.114618491381407,-1.4396114879846573,360.0
31457280,60,2537,12396,0.0020877372780887526,-0.09291345626115799,0.2,0.034497737884521484,1.1118555068969727,472,0.0001,-0.0022030191257726983,0.0044377157,0.6963054537773132,-9.119845889508724,-1.4396114879846573,360.0
31981568,61,2578,12404,0.0008414527587774501,-0.09556026011705399,0.2,0.04589366912841797,1.1168487071990967,480,0.0001,-0.0038678213229559333,0.005047816,0.8399488031864166,-9.14445897936821,-1.4396114879846573,360.0
32505856,62,2620,12403,0.001342740477866755,-0.0955704003572464,0.2,0.046395301818847656,1.1176828145980835,488,0.0001,-0.003919511796539155,0.0051873056,0.9057607352733612,-9.156047206372023,-1.5753662741184236,360.0
33030144,63,2651,12455,0.003308754621684784,-0.09332624077796936,0.2,0.028544902801513672,1.1218595504760742,496,0.0001,-0.0017338970720857105,0.004044134,0.763300895690918,-9.17279376834631,-1.5753662741184236,360.0
33554432,64,2686,12491,0.00022103138866214067,-0.10232290625572205,0.2,0.08374524116516113,1.116587519645691,504,0.0001,-0.008686424982442986,0.0068369517,0.8358162343502045,-9.157738946378231,-1.5753662741184236,360.0
34078720,65,2725,12501,0.0018652568301149586,-0.09549980610609055,0.2,0.030231714248657227,1.1180036067962646,512,0.0001,-0.002170216262811664,0.00417394,0.5940266847610474,-9.155516181141138,-1.5753662741184236,360.0
34603008,66,2770,12488,0.0002544895368714606,-0.09321846067905426,0.2,0.02538156509399414,1.1176438331604004,520,0.0001,-0.002180249618504604,0.0039036106,0.8678266108036041,-9.155377242714167,-1.5753662741184236,360.0
35127296,67,2819,12458,0.0017968442816709285,-0.09309867769479752,0.2,0.026257991790771484,1.121681809425354,528,0.0001,-0.0016788486493624077,0.00412619,0.6901329755783081,-9.168784905225039,-1.5753662741184236,360.0
35651584,68,2861,12457,0.00023173420890998386,-0.09595004469156265,0.2,0.06133580207824707,1.12260901927948,536,0.0001,-0.005255184719771933,0.005966013,0.9096363335847855,-9.177560187876225,-1.376075592637062,360.0
36175872,69,2893,12501,0.0014078196104492235,-0.09374475479125977,0.2,0.03648209571838379,1.1255582571029663,544,0.0001,-0.001821484952188257,0.004713113,0.6879311800003052,-9.189631465822458,-1.376075592637062,360.0
36700160,70,2927,12538,0.0002064377889610114,-0.0981864184141159,0.2,0.05524778366088867,1.122408390045166,552,0.0001,-0.005923729419464507,0.005649361,0.8715388476848602,-9.181097142398357,-1.376075592637062,360.0
37224448,71,2962,12565,0.0016556914897591923,-0.09379635006189346,0.2,0.024065256118774414,1.12485671043396,560,0.0001,-0.001458425198961777,0.0036267242,0.7104627788066864,-9.184570394456387,-1.376075592637062,360.0
37748736,72,2997,12592,0.00027613491818101465,-0.09733934700489044,0.2,0.03856611251831055,1.1243376731872559,568,0.0001,-0.0036621004744574748,0.0045348587,0.9050857350230217,-9.185066111385822,-1.376075592637062,360.0
38273024,73,3033,12616,0.0018716387262429635,-0.09428837895393372,0.2,0.024384260177612305,1.1283907890319824,576,0.0001,-0.0013788342234875017,0.0037003502,0.7227706015110016,-9.199584197252989,-1.376075592637062,360.0
38797312,74,3066,12652,0.00032419588308130187,-0.09650123864412308,0.2,0.03411388397216797,1.127884864807129,584,0.0001,-0.0033424662037759845,0.0044002486,0.8983321711421013,-9.20139890536666,-0.954901771247387,360.0
39321600,75,3098,12691,0.0011253623251832323,-0.0958172157406807,0.2,0.06868290901184082,1.1133906841278076,592,0.0001,-0.005079433429273195,0.0067201233,0.6465570628643036,-9.151284240186214,-0.954901771247387,360.0
39845888,76,3130,12727,0.0011930453206332459,-0.09548913687467575,0.2,0.05943799018859863,1.0992474555969238,600,0.0001,-0.005101558130718331,0.00610401,0.1455833911895752,-9.074901454150677,-0.954901771247387,360.0
40370176,77,3163,12759,0.00042823787225643173,-0.10084275901317596,0.2,0.09687399864196777,1.0799715518951416,608,0.0001,-0.009842312456385116,0.008231636,0.8727612793445587,-8.975656181573868,-0.954901771247387,360.0
40894464,78,3197,12791,0.0018889986467911513,-0.09324540197849274,0.2,0.05546975135803223,1.0687133073806763,616,0.0001,-0.00460392745981153,0.0060105133,0.5343228280544281,-8.904170833528042,-0.954901771247387,360.0
41418752,79,3231,12816,0.000357346707914985,-0.10044000297784805,0.2,0.11429286003112793,1.0481796264648438,624,0.0001,-0.012056123324327928,0.009348229,0.9028209447860718,-8.80028136074543,-2.0152788150310514,360.0
41943040,80,3263,12853,0.001282914858620643,-0.0925794467329979,0.2,0.056268930435180664,1.0355474948883057,632,0.0001,-0.004668562728511461,0.006011231,0.5310722291469574,-8.722589518874884,-2.0152788150310514,360.0
42467328,81,3294,12889,0.00017703102730592946,-0.10366441309452057,0.2,0.11292552947998047,1.0103001594543457,640,0.0001,-0.014458635950177268,0.009816047,0.7510949522256851,-8.58957152813673,-2.0152788150310514,360.0
42991616,82,3327,12918,0.0015403002221319184,-0.09015929698944092,0.2,0.03504633903503418,0.9988390803337097,648,0.0001,-0.002937990499958687,0.00479067,0.5906001031398773,-8.507847625762224,-2.0152788150310514,360.0
43515904,83,3361,12945,0.00018021674651436115,-0.09278281033039093,0.2,0.05968356132507324,0.9783910512924194,656,0.0001,-0.006832319866816761,0.006851945,0.8234555721282959,-8.399892404675484,-2.0152788150310514,360.0
44040192,84,3397,12961,0.0015748673790767498,-0.08666983991861343,0.2,0.0386044979095459,0.9702574014663696,664,0.0001,-0.0028466326007219322,0.0048666103,0.6574479937553406,-8.327278010547161,-2.0152788150310514,360.0
44564480,85,3431,12985,0.00016535985429300126,-0.09422314167022705,0.2,0.10638999938964844,0.9536161422729492,672,0.0001,-0.010930262003967073,0.008661928,0.9061113223433495,-8.237036366015673,-1.5255431872606278,360.0
45088768,86,3463,13018,0.0010970619082399935,-0.08536037802696228,0.2,0.043001413345336914,0.9435006976127625,680,0.0001,-0.0031279970328341733,0.0053308634,0.6220073997974396,-8.166412707418203,-1.5255431872606278,360.0
45613056,87,3494,13053,0.00020371908578908915,-0.09023133665323257,0.2,0.05915188789367676,0.9228598475456238,688,0.0001,-0.007720268568391475,0.007045514,0.6803921163082123,-8.05372317880392,-1.5255431872606278,360.0
46137344,88,3526,13083,0.0014968762443459127,-0.08214005082845688,0.2,0.03137612342834473,0.9145753383636475,696,0.0001,-0.002063683971755381,0.0043805544,0.6157642006874084,-7.977836709469557,-1.5255431872606278,360.0
46661632,89,3557,13116,0.0002372383779061238,-0.08592823147773743,0.2,0.04624223709106445,0.8959840536117554,704,0.0001,-0.006291955162396334,0.006384513,0.8111416846513748,-7.874513570219278,-1.5255431872606278,360.0
47185920,90,3591,13139,0.0013067910467725596,-0.08033762127161026,0.2,0.03802061080932617,0.8885658979415894,712,0.0001,-0.002407613942068565,0.0047451993,0.7040343284606934,-7.803125657141209,-1.0961187583208085,360.0
47710208,91,3622,13169,0.0014211725056156865,-0.08024948090314865,0.2,0.022845029830932617,0.8821873068809509,720,0.0001,-0.0016864641333995678,0.003946402,0.4839112162590027,-7.756433233618736,-1.0961187583208085,360.0
48234496,92,3653,13201,0.00016108611447407384,-0.0888054147362709,0.2,0.10054516792297363,0.8652524352073669,728,0.0001,-0.011345459719450446,0.008584848,0.8608483821153641,-7.657068511471152,-1.0961187583208085,360.0
48758784,93,3685,13230,0.0015574842491332674,-0.07876886427402496,0.2,0.02816152572631836,0.8593541383743286,736,0.0001,-0.0018668878078642592,0.0042347885,0.5220643281936646,-7.598401376977563,-1.0961187583208085,360.0
49283072,94,3716,13260,0.00023057558496475394,-0.08345114439725876,0.2,0.04835820198059082,0.8422173261642456,744,0.0001,-0.005902502952267241,0.0062733553,0.8833343908190727,-7.502920193597674,-1.0961187583208085,360.0
49807360,95,3748,13286,0.0015101907438292983,-0.07690652459859848,0.2,0.038722991943359375,0.8375260829925537,752,0.0001,-0.002316807665010856,0.00472811,0.6109221875667572,-7.440529914572835,-1.0961187583208085,360.0
50331648,96,3781,13310,0.00022502971006588268,-0.08207908272743225,0.2,0.07905697822570801,0.824528694152832,760,0.0001,-0.008191490965145931,0.0073851645,0.8936371877789497,-7.363324334844947,-0.818732718527317,360.0
50855936,97,3812,13338,0.001093095009764511,-0.0750853419303894,0.2,0.030931711196899414,0.8170679807662964,768,0.0001,-0.002011163286624651,0.004486313,0.5193751752376556,-7.301956219598651,-0.818732718527317,360.0
51380224,98,3843,13367,0.00016007829543696062,-0.0785117819905281,0.2,0.05449652671813965,0.8011360168457031,776,0.0001,-0.00629103149913135,0.0065375776,0.6074688732624054,-7.200696935877204,-0.818732718527317,360.0
51904512,99,3875,13393,0.0013069279980300053,-0.07328417152166367,0.2,0.02867269515991211,0.7955048084259033,784,0.0001,-0.0017788472457596072,0.004377041,0.565449595451355,-7.136278746649623,-0.818732718527317,360.0
52428800,100,3906,13422,0.00018724677158843406,-0.07980481535196304,0.2,0.05815911293029785,0.7813107371330261,792,0.0001,-0.006792703655264631,0.006612681,0.8228898048400879,-7.047383818775415,-0.818732718527317,360.0
52953088,101,3937,13447,0.0012785970257027657,-0.072007916867733,0.2,0.02876734733581543,0.7759655714035034,800,0.0001,-0.0016706422920833575,0.0043745018,0.6170668005943298,-6.988413546234369,-0.818732718527317,360.0
